TeamId,TotalConstructorPoints,TotalConstructorSprintPoints,ConstructorSprintPoints,TotalSprintPoints,PlacesGainedSprintPoints,ConstructorSprintFinishingPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,17.0,6.0,1.0,0.0,1.0,5,11.0,6.0,0.0,6.0,5,Qatar Grand Prix
aston_martin,17.0,7.0,2.0,2.0,0.0,5,10.0,8.0,6.0,2.0,2,Qatar Grand Prix
ferrari,22.0,6.0,1.0,0.0,1.0,5,16.0,11.0,4.0,7.0,5,Qatar Grand Prix
haas,8.0,5.0,0.0,0.0,0.0,5,3.0,1.0,0.0,1.0,2,Qatar Grand Prix
mclaren,54.0,19.0,14.0,14.0,0.0,5,35.0,30.0,30.0,0.0,5,Qatar Grand Prix
mercedes,39.0,16.0,11.0,10.0,1.0,5,23.0,18.0,18.0,0.0,5,Qatar Grand Prix
rb,16.0,9.0,4.0,0.0,4.0,5,7.0,5.0,2.0,3.0,2,Qatar Grand Prix
red_bull,54.0,16.0,11.0,9.0,2.0,5,38.0,33.0,26.0,7.0,5,Qatar Grand Prix
sauber,15.0,7.0,2.0,0.0,2.0,5,8.0,6.0,0.0,6.0,2,Qatar Grand Prix
williams,33.0,6.0,1.0,1.0,0.0,5,27.0,22.0,15.0,7.0,5,Qatar Grand Prix
